ExamScore,EikenCSE
40,1254
48,1166
57,1254
28,1252
60,1251
27,1221
73,1297
73,1434
83,1391
61,1289
76,1550
68,1384
81,1332
59,1362
62,1256
75,1429
52,1212
76,1498
46,1362
53,1347
39,1262
44,1263
39,1207
62,1508
46,1309
27,1127
46,1329
76,1401
77,1276
73,1412
69,1391
65,1307
44,1229
87,1451
42,1326
51,1339
84,1383
53,1332
71,1424
37,1206
57,1315
72,1498
60,1383
45,1224
72,1551
74,1412
60,1414
83,1551
46,1312
77,1393
52,1248
47,1356
32,805
60,1296
66,1215
65,1300
58,1285
43,1250
63,1325
57,1341
48,1373
40,1338
48,1271
42,1241
50,1333
54,1243
54,1191
48,1283
51,1394
39,1312
54,1178
57,1437
76,1374
52,1275
51,1268
55,1368
69,1285
70,1496
79,1423
88,1456
62,1427
57,1287
71,1281
66,1414
36,1211
65,1334
52,780
52,1215
67,1402
42,1208
74,1287
63,1386
56,1366
69,1395
74,1283
50,1218
59,1421
66,1239
58,1385
76,1367
59,1320
59,1240
50,1411
65,1436
63,1196
64,1460
42,1198
73,1474
81,1574
40,1144
79,1340
80,1293
49,1152
74,1286
72,1394
51,1335
60,1387
55,1408
39,1220
47,1359
73,1422
83,1506
78,1265
67,1219
85,1433
53,1324
97,1659
31,669
30,621
21,548
38,649
26,573
26,609
21,568
40,660
23,596
27,582
42,778
43,587
37,615
28,642
35,599
26,590
37,644
17,599
33,590
29,609
26,616
27,514
84,1241
67,1208
62,1171
45,1188
52,1127
22,620
54,1130
37,1047
47,1276
44,1031
40,1081
58,1216
53,1207
49,1157
44,993
54,1030
41,1151
34,990
44,1083
57,1102
52,1183
41,1059
68,1173
63,1165
44,1137
46,1177
42,1145
36,1096
36,1059
44,1084
49,1184
45,1084
31,1185
52,1029
43,1057
62,1172
52,1203
46,1111
35,999
29,1147
53,1186
42,1001
27,679
57,1143
74,1402
60,1143
45,1187
60,1239
43,1092
22,628
52,1102
58,1109
48,1109
37,1118
57,1285
21,967
40,1160
42,1087
24,945
41,1028
36,1048
59,1226
56,1181
57,1201
40,1058
38,1039
54,1037
40,1049
60,1151
47,945
51,1021
55,1115
73,1246
61,1088
59,1269
49,1209
45,963
46,1141
45,759
40,1066
66,1057
34,1172
73,1238
39,1010
41,1092
41,1070
55,1185
43,1177
46,1304
56,1092
52,1179
57,1111
51,1120
44,1113
41,947
60,1161
51,1223
44,1053
39,997
46,1078
46,1035
67,1125
58,1167
48,1118
64,1218
70,1271
64,1268
32,1084
61,1063
61,1285
55,1035
57,1147
34,971
63,1245
54,1293
40,1102
43,1127
65,1297
79,1294
43,1029
52,1092
57,1162
64,1279
58,1235
50,1019
38,1166
58,1257
34,1057
49,1153
36,1015
41,905
54,1156
51,1112
90,1497
53,1126
61,1150
49,1109
50,1134
40,1001
56,1111
48,1142
38,1052
55,1150
41,987
57,1293
65,1127
65,1167
65,1236
39,1137
67,1181
38,1069
54,1165
60,1140
71,1254
42,1069
55,1086
60,1327
59,1111
64,1107
55,1093
56,1136
71,1105
59,1221
74,1222
57,1128
35,1066
57,944
52,1035
51,1195
44,996
43,1060
75,1371
48,1138
53,1051
57,1155
38,1061
54,1244
51,1413
64,1357
63,1347
72,1290
65,1466
80,1450
66,1446
75,1454
85,1750
77,1438
76,1431
73,1558
79,1425
56,1445
44,1460
