ExamScore,EikenCSE
39,1446
70,1551
43,1331
33,1450
44,1351
49,1354
42,1429
54,1365
33,1190
56,1452
41,1436
60,1456
19,1292
22,1121
50,1423
27,1331
47,1311
57,1492
79,1560
30,1290
47,1401
45,1252
72,1421
45,1577
55,1398
29,1195
63,1519
27,1187
55,1493
60,1527
71,1603
37,1263
21,1145
78,1641
63,1530
67,1613
42,1368
64,1468
25,1169
63,1395
58,1431
61,1612
71,1674
54,1488
77,1495
34,1308
24,960
49,1444
45,1346
45,1347
56,1427
28,1369
32,1364
27,1005
32,877
27,1088
50,1502
40,1289
56,1383
41,1322
62,1367
36,1327
63,1430
39,1408
55,1413
61,1587
34,1309
27,1285
43,1448
47,1367
69,1634
63,1495
62,1464
43,1277
57,1531
73,1676
74,1451
50,1356
58,1534
68,1488
45,1275
21,916
41,1449
42,1421
74,1500
53,1422
48,1364
29,1275
66,1499
77,1491
31,1341
40,1311
66,1437
47,1452
58,1402
74,1620
67,1568
46,1389
53,1428
38,1254
58,1497
30,1298
43,1372
46,1443
75,1520
37,1189
45,1406
24,1275
22,1358
39,1462
48,1641
78,1580
47,1424
32,1373
66,1561
41,1458
45,1388
64,1743
34,1201
18,1006
60,1602
33,1255
42,1442
40,1428
51,1458
14,1069
56,1450
28,1320
64,1676
22,1323
38,1231
27,1427
52,1415
60,1424
62,1408
91,1880
42,1349
20,955
81,1712
22,1164
41,1344
77,1623
82,1788
26,1127
38,1303
34,1384
41,1402
44,1267
54,1423
65,1527
63,1583
87,1664
20,1164
49,1564
30,1265
43,1353
33,1170
68,1482
60,1415
69,1467
15,693
23,1141
82,1706
53,1429
