ExamScore,EikenCSE
55,1351
42,1251
62,1326
37,1273
60,1329
72,1524
40,1143
64,1330
54,1294
72,1342
61,1287
76,1576
65,1372
55,1275
76,1596
65,1372
67,1343
60,1283
49,1209
30,1004
60,1363
67,1535
74,1414
41,1179
32,1085
69,1433
59,1396
51,1251
49,1386
45,1288
45,1258
57,1402
57,1375
61,1372
75,1575
53,1279
62,1294
61,1378
52,1369
41,1168
31,1182
55,1426
65,1335
43,1344
53,1301
60,1279
46,1311
44,1373
45,1250
29,1059
90,1543
57,1120
56,1304
62,1368
44,1172
59,1310
50,1288
43,1238
75,1577
35,1245
74,1459
70,1511
60,1508
75,1506
68,1479
51,1255
54,1292
39,1332
47,1295
88,1627
60,1426
65,1572
68,1274
48,1292
39,1268
46,1379
23,1143
55,1312
79,1383
59,1356
41,1294
46,1239
52,1495
73,1590
65,1593
44,1330
52,1484
31,1235
43,1077
63,1613
42,1076
72,1507
69,1396
61,1324
66,1595
51,1289
47,1315
51,1227
78,1483
37,1194
54,1147
52,1306
51,1300
42,1261
45,1316
64,1352
44,1183
60,1416
48,1339
56,1422
34,1247
65,1452
74,1487
48,1342
52,1332
72,1557
60,1428
72,1432
50,1371
58,1308
55,1463
39,1179
87,1824
65,1273
34,1247
51,1386
45,1236
20,996
62,1379
67,1390
30,899
39,1165
24,937
87,1638
54,1431
54,1307
51,1163
70,1424
71,1566
19,1147
73,1482
70,1406
52,1342
63,1479
54,1321
74,1526
69,1512
55,1148
62,1429
60,1421
78,1572
70,1378
73,1448
75,1603
33,1180
52,1292
57,1273
98,1750
25,1119
68,1425
46,1264
40,895
77,1727
49,1247
80,1485
55,1273
81,1527
48,1339
71,1460
52,1268
26,1034
37,1194
33,1122
54,1461
16,633
36,1158
85,1597
54,1360
